"","dir.dyad","actor","receiver","a.sex","r.sex","site1","site2","season1","season2","kinship","grooming","foodsharing","dist"
"141","bat3_bat6","bat3","bat6","F","M","zoo","zoo","phd","phd",0.349,NA,NA,1.88428891418716
"142","bat3_bat7","bat3","bat7","F","M","zoo","zoo","phd","phd",0.1504,NA,NA,2.66658315214531
"143","bat3_bella","bat3","bella","F","F","zoo","zoo","phd","phd",0.1252,NA,0.00507936507936508,2.71451245334546
"144","bat3_betty","bat3","betty","F","F","zoo","tole","phd","lab",0,NA,NA,3.11102936566145
"145","bat3_black-panther","bat3","black-panther","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.50862234489331
"146","bat3_c","bat3","c","F","F","zoo","tole","phd","postdoc",0,NA,NA,3.24702226248115
"147","bat3_cat","bat3","cat","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.30029078225169
"148","bat3_cc","bat3","cc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.91178753534563
"149","bat3_ccc","bat3","ccc","F","F","zoo","tole","phd","postdoc",0,NA,NA,3.0389674642556
"150","bat3_ccs","bat3","ccs","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.78632742937613
"151","bat3_cerce","bat3","cerce","F","F","zoo","zoo","phd","phd",0.29,NA,0.0101666666666667,1.88293807926538
"152","bat3_cerceson","bat3","cerceson","F","M","zoo","zoo","phd","phd",0,NA,NA,2.39713905089797
"153","bat3_cindy","bat3","cindy","F","F","zoo","tole","phd","lab",0,NA,NA,2.982367932558
"154","bat3_cs","bat3","cs","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.72322972133196
"155","bat3_d","bat3","d","F","F","zoo","tole","phd","lab",0,NA,NA,2.79098069643057
"156","bat3_dcd","bat3","dcd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.62567696447862
"157","bat3_dd","bat3","dd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.92221250485636
"158","bat3_ddld","bat3","ddld","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.47638972464398
"159","bat3_eve","bat3","eve","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.73817905312781
"160","bat3_falcon","bat3","falcon","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.88062488179513
"161","bat3_flapper","bat3","flapper","F","M","zoo","zoo","phd","phd",0.1016,NA,NA,3.2565038685972
"162","bat3_fran","bat3","fran","F","F","zoo","tole","phd","lab",0,NA,NA,3.61318317202242
"163","bat3_gayle","bat3","gayle","F","F","zoo","tole","phd","lab",0,NA,NA,3.70959353344643
"164","bat3_gremlin","bat3","gremlin","F","M","zoo","zoo","phd","phd",0.284,NA,0,2.68093632267839
"165","bat3_hera","bat3","hera","F","F","zoo","tole","phd","lab",0,NA,NA,2.96862371289976
"166","bat3_hilga","bat3","hilga","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.97493995034699
"167","bat3_hulk","bat3","hulk","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.71211293244273
"168","bat3_jenna-bat","bat3","jenna-bat","F","M","zoo","gamboa","phd","postdoc",0,NA,NA,2.26286599003248
"169","bat3_jupiter","bat3","jupiter","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.75890864898755
"170","bat3_kelly","bat3","kelly","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,3.012515963366
"171","bat3_ldc","bat3","ldc","F","M","zoo","tole","phd","postdoc",0,NA,NA,4.90282071229291
"172","bat3_lds","bat3","lds","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.81552606420313
