"","alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
"ola",0,26,3,29,128,1,19,0,903,0,11,110,0,19,0,0,1,45,0,1,0,241,689,0,0,0,2,60,0,27,44,0,1,12,0,6,985,0,2,3,0,1070,0,131,4,221,0,0,68,18,0,0,54,2,1,1,121,4,1219,2,7,57,5,37,0,0,1
"opal",0,29,7,4,32,2,3,0,1351,4,1,24,0,1,0,0,3,436,0,0,0,1,208,0,0,32,1,95,0,134,8,1,0,26,52,7,116,0,167,7,0,0,2861,1111,1004,17,0,0,24,0,0,0,27,0,558,0,0,2,30,90,48,169,5,72,1,1,131
"piper",1,88,13,161,657,6,222,1,1856,6,30,7,0,0,0,0,4,177,2,0,4,303,205,0,0,57,7,1367,0,74,162,1,2,59,144,95,497,0,92,9,0,74,205,28544,453,1040,1,0,215,13,0,0,222,0,606,0,5,35,417,38,2,381,26,32,2,2,630
"queen",0,52,12,1,67,0,11,1,2222,2,2,3,0,0,0,0,196,1314,0,0,0,28,690,0,0,25,2,21,3,101,14,8,0,634,101,7,14,0,292,16,0,0,721,455,9918,3,0,0,21,0,0,0,41,1,221,0,0,9,5,78,19,116,140,283,0,0,47
"r",1,124,16,24,98,13,40,0,757,0,128,14,1,2,3,5,5,1449,9,3,1,142,252,2,0,5,72,1474,0,6,371,6,1,72,55,240,310,0,47,3,0,91,12,649,149,5822,3,0,645,9,0,0,126,5,7,0,2,23,96,16,7,128,20,75,11,0,89
"rc",0,0,0,84,25,1,0,0,37,0,2,1,0,4,0,0,0,26,0,8,1,222,125,0,0,1,0,29,0,3,3,3,2,2,0,0,112,0,0,6,0,8,3,63,8,3,9,0,20,0,0,0,5,54,24,0,0,2,39,2,0,6,21,0,1,0,3
"rina",0,2,3,3,12,0,0,0,6,0,0,28,0,0,0,0,27,55,0,0,0,8,97,0,0,3,2,51,0,56,0,0,0,4,1,4,7,0,4,1,0,0,14,41,55,5,0,119,4,1,0,0,3,6,313,0,0,5,0,4,2,2,16,2,0,0,5
"s",0,349,156,327,52,21,146,0,3114,34,86,3,0,10,3,8,3,921,15,2,16,391,340,0,0,2,19,204,0,38,209,5,46,1230,11,45,302,0,10,10,0,58,1,1018,41,635,7,1,3258,5,3,0,408,40,14,0,25,23,832,2,3,215,63,46,2,1,86
"sam6",0,6,0,0,27,0,0,0,143,0,0,52,0,7,0,0,1,35,0,0,0,43,246,0,0,0,2,8,0,96,54,4,0,0,4,5,48,0,7,1,0,15,0,22,7,0,0,0,1,49,0,0,11,3,5,0,2,11,8,0,0,46,3,24,0,0,0
"sc",0,5,21,24,14,3,3,0,114,0,2,0,0,15,0,3,9,126,2,0,1,53,149,0,0,3,0,20,0,55,7,4,15,22,1,3,40,0,1,9,0,3,2,26,11,17,1,0,103,0,0,0,17,41,3,0,3,11,97,4,0,27,57,13,0,1,4
