"bat1","bat2","dyad","kinship","site1","site2","season1","season2"
"bat1","sheldon","bat1_sheldon",0,"zoo","zoo","phd","phd"
"bat1","six","bat1_six",0,"zoo","las.pavas","phd","postdoc"
"bat1","snow","bat1_snow",0,"zoo","zoo","phd","phd"
"bat1","son-of-ola","bat1_son-of-ola",0,"zoo","las.pavas","phd","postdoc"
"bat1","sonofzaria","bat1_sonofzaria",0,"zoo","zoo","phd","phd"
"bat1","speedster","bat1_speedster",0.0865,"zoo","zoo","phd","phd"
"bat1","spiderman","bat1_spiderman",0,"zoo","tole","phd","postdoc"
"bat1","ss","bat1_ss",0,"zoo","tole","phd","postdoc"
"bat1","sss","bat1_sss",0,"zoo","tole","phd","postdoc"
"bat1","streblick","bat1_streblick",0,"zoo","zoo","phd","phd"
"bat1","tes","bat1_tes",0,"zoo","las.pavas","phd","postdoc"
"bat1","thecount","bat1_thecount",0.0998,"zoo","zoo","phd","phd"
"bat1","tiffany","bat1_tiffany",0,"zoo","lake.bayano","phd","lab"
"bat1","toast","bat1_toast",0,"zoo","tole","phd","lab"
"bat1","una","bat1_una",0,"zoo","las.pavas","phd","postdoc"
"bat1","vampirella","bat1_vampirella",0.4621,"zoo","zoo","phd","phd"
"bat1","vampison","bat1_vampison",NA,"zoo","zoo","phd","phd"
"bat1","veronica","bat1_veronica",0.1814,"zoo","zoo","phd","phd"
"bat1","vixen","bat1_vixen",0,"zoo","chorrera","phd","lab"
"bat1","vlad","bat1_vlad",0.1083,"zoo","zoo","phd","phd"
"bat1","war-machine","bat1_war-machine",0,"zoo","tole","phd","postdoc"
"bat1","whimsey","bat1_whimsey",0.182,"zoo","zoo","phd","phd"
"bat1","winona","bat1_winona",0,"zoo","chorrera","phd","lab"
"bat1","zaria","bat1_zaria",0.0059,"zoo","zoo","phd","phd"
"bat1","zarison","bat1_zarison",0.0502,"zoo","zoo","phd","phd"
"bat1","zelda","bat1_zelda",0,"zoo","chorrera","phd","lab"
"bat2","alicia","alicia_bat2",0,"zoo","chorrera","phd","lab"
"bat2","bat1","bat1_bat2",0.0885,"zoo","zoo","phd","phd"
"bat2","bat3","bat2_bat3",0.4777,"zoo","zoo","phd","phd"
"bat2","bat4","bat2_bat4",0.5,"zoo","zoo","phd","phd"
"bat2","bat5","bat2_bat5",0.2241,"zoo","zoo","phd","phd"
"bat2","bat6","bat2_bat6",0.2058,"zoo","zoo","phd","phd"
"bat2","bat7","bat2_bat7",0.1411,"zoo","zoo","phd","phd"
"bat2","bella","bat2_bella",0.0193,"zoo","zoo","phd","phd"
"bat2","betty","bat2_betty",0,"zoo","tole","phd","lab"
"bat2","black-panther","bat2_black-panther",0,"zoo","tole","phd","postdoc"
"bat2","c","bat2_c",0,"zoo","tole","phd","postdoc"
"bat2","captain-america","bat2_captain-america",0,"zoo","tole","phd","postdoc"
"bat2","cat","bat2_cat",0,"zoo","las.pavas","phd","postdoc"
"bat2","cc","bat2_cc",0,"zoo","tole","phd","postdoc"
"bat2","ccc","bat2_ccc",0,"zoo","tole","phd","postdoc"
"bat2","ccs","bat2_ccs",0,"zoo","tole","phd","postdoc"
"bat2","cd","bat2_cd",0,"zoo","tole","phd","postdoc"
"bat2","cerce","bat2_cerce",0.1668,"zoo","zoo","phd","phd"
"bat2","cerceson","bat2_cerceson",0.0764,"zoo","zoo","phd","phd"
"bat2","cindy","bat2_cindy",0,"zoo","tole","phd","lab"
"bat2","countess","bat2_countess",0,"zoo","zoo","phd","phd"
"bat2","cs","bat2_cs",0,"zoo","tole","phd","postdoc"
"bat2","csc","bat2_csc",0,"zoo","tole","phd","postdoc"
"bat2","d","bat2_d",0,"zoo","tole","phd","lab"
"bat2","daredevil","bat2_daredevil",0,"zoo","tole","phd","postdoc"
"bat2","dcd","bat2_dcd",0,"zoo","tole","phd","postdoc"
"bat2","dd","bat2_dd",0,"zoo","tole","phd","postdoc"
"bat2","ddd","bat2_ddd",0,"zoo","las.pavas","phd","postdoc"
"bat2","ddld","bat2_ddld",0,"zoo","tole","phd","postdoc"
"bat2","desi","bat2_desi",0.0173,"zoo","zoo","phd","phd"
"bat2","dos","bat2_dos",0,"zoo","las.pavas","phd","postdoc"
"bat2","dr","bat2_dr",0,"zoo","tole","phd","postdoc"
"bat2","dr-strange","bat2_dr-strange",0,"zoo","tole","phd","postdoc"
"bat2","ds","bat2_ds",0,"zoo","tole","phd","postdoc"
"bat2","esther","bat2_esther",0,"zoo","tole","phd","lab"
"bat2","eve","bat2_eve",0,"zoo","las.pavas","phd","postdoc"
"bat2","falcon","bat2_falcon",0,"zoo","tole","phd","postdoc"
"bat2","flapper","bat2_flapper",0.0314,"zoo","zoo","phd","phd"
"bat2","fran","bat2_fran",0,"zoo","tole","phd","lab"
"bat2","fuschia","bat2_fuschia",0,"zoo","zoo","phd","phd"
"bat2","gayle","bat2_gayle",0,"zoo","tole","phd","lab"
"bat2","gelfing","bat2_gelfing",0.0544,"zoo","zoo","phd","phd"
